Vehicle 250
v 1369.30 886.48
v 3463.47 387.06
v 3410.64 3376.76
v 3146.51 3104.81
v 1030.96 3365.17
v 2706.45 2111.96
v 1653.76 1802.34
v 353.51 1499.64
v 1020.03 2458.94
v 1028.39 3365.51
v 728.81 3335.20
v 1592.07 2757.75
v 1362.81 879.97
v 3234.66 3487.27
v 2714.88 2105.53
v 1103.15 3459.10
v 1716.56 2196.71
v 3468.49 387.31
v 2698.63 2114.53
v 1601.52 2765.77
v 1492.61 1027.49
v 1704.67 2181.97
v 1029.86 2455.91
v 3475.27 380.98
v 1958.68 39.26
v 345.26 1499.01
v 3127.85 806.70
v 3411.36 3382.87
v 3861.37 3407.88
v 1087.97 3448.36
v 1781.30 1349.78
v 1590.91 2762.11
v 346.73 1477.01
v 722.38 3332.33
v 1779.39 1359.37
v 1695.96 2202.45
v 1952.95 401.83
v 2706.94 2115.78
v 3149.15 3106.09
v 731.27 3338.50
v 3416.21 3375.96
v 1102.77 3453.88
v 2708.63 2107.21
v 1093.51 3450.19
v 1703.83 2188.94
v 1368.71 872.88
v 537.29 2935.69
v 3146.15 3102.66
v 1095.28 3442.09
v 3244.95 3482.94
v 3812.08 2070.53
v 1959.43 35.02
v 1701.81 2191.51
v 1382.21 866.38
v 1775.44 1360.04
v 1597.71 2750.27
v 3033.76 1067.71
v 3154.98 3111.58
v 1032.56 3368.43
v 538.29 2958.53
v 1030.79 2467.21
v 1103.90 3453.41
v 1785.82 1363.79
v 3823.43 2070.14
v 1637.15 1805.15
v 1599.35 2774.20
v 1960.92 42.53
v 1952.47 396.99
v 3131.81 817.88
v 3412.67 3381.16
v 1642.18 1796.68
v 3415.56 3381.12
v 3144.05 794.07
v 3420.26 3365.15
v 3147.41 823.50
v 3045.30 1061.64
v 3470.19 395.07
v 1716.48 2187.89
v 1945.96 390.85
v 3150.22 3101.00
v 2706.09 2108.55
v 3150.20 800.59
v 3233.49 3472.01
v 1951.57 396.83
v 1635.87 1787.62
v 3149.21 3103.15
v 2707.82 2114.60
v 1711.81 2192.63
v 3408.62 3385.38
v 3415.92 3378.70
v 3233.60 3488.33
v 1643.90 1813.53
v 3413.61 3377.28
v 2708.71 2106.51
v 549.48 2952.58
v 3245.89 3487.28
v 2536.53 964.78
v 1578.24 2763.71
v 1653.81 1790.76
v 3827.09 2067.45
v 1596.73 2766.63
v 3862.99 3413.34
v 1099.19 3455.76
v 3429.06 3372.28
v 1023.19 3365.24
v 1943.80 396.94
v 3033.98 1048.69
v 715.96 3348.07
v 3477.45 376.31
v 1580.26 2760.25
v 1659.53 1814.13
v 1966.56 26.61
v 3812.35 2073.34
v 3862.89 3412.42
v 3144.65 817.16
v 1029.05 3358.86
v 1712.79 2195.14
v 3810.41 2072.54
v 3231.10 3478.89
v 723.19 3347.00
v 729.37 3333.46
v 3823.23 2063.19
v 1583.05 2768.31
v 734.35 3350.02
v 1094.49 3442.16
v 3130.80 798.01
v 1787.09 1370.63
v 545.48 2959.09
v 3415.29 3379.10
v 1710.63 2196.34
v 3042.34 1039.19
v 1712.95 2206.23
v 737.18 3329.47
v 544.89 2936.50
v 3852.96 3393.49
v 1945.93 397.67
v 2703.55 2105.29
v 1372.47 888.08
v 735.62 3344.78
v 1027.15 3368.24
v 1651.82 1800.82
v 2542.61 968.07
v 348.30 1495.64
v 1021.80 3372.21
v 3817.40 2067.94
v 2961.91 604.67
v 542.98 2948.92
v 1947.42 30.64
v 3161.51 3107.23
v 535.18 2955.21
v 3236.84 3484.73
v 3034.36 1048.59
v 3239.59 3490.28
v 3164.12 3108.38
v 1097.63 3444.91
v 1499.03 1034.93
v 3464.37 371.03
v 1097.88 3456.42
v 1369.34 878.16
v 1015.05 3363.05
v 1581.76 2759.98
v 2965.84 592.83
v 3458.84 370.19
v 1020.35 3373.04
v 1029.51 2475.04
v 3851.50 3392.92
v 543.00 2941.15
v 1102.48 3450.12
v 3141.52 811.29
v 1699.51 2201.90
v 1956.02 27.66
v 1027.76 2455.70
v 3141.38 810.56
v 3867.15 3418.84
v 549.18 2949.25
v 1651.11 1798.00
v 2961.39 588.05
v 3038.28 1054.04
v 559.55 2948.18
v 1023.36 2457.46
v 3142.13 812.17
v 1644.18 1793.34
v 1652.43 1804.25
v 1711.60 2203.68
v 538.04 2945.98
v 2707.14 2110.32
v 3480.94 385.06
v 1100.23 3453.52
v 364.07 1491.66
v 1592.26 2760.98
v 3048.20 1050.53
v 1777.53 1348.81
v 1025.28 2458.55
v 3859.38 3417.89
v 3463.79 391.46
v 1701.18 2196.75
v 3850.82 3414.98
v 1577.29 2757.68
v 2956.91 594.16
v 3469.25 385.22
v 3158.31 3110.57
v 350.62 1499.68
v 2533.03 964.32
v 1098.85 3447.22
v 1601.41 2756.65
v 3146.96 817.86
v 1782.87 1363.34
v 3807.79 2073.90
v 2536.60 956.43
v 3419.79 3370.18
v 2705.12 2105.05
v 1371.24 876.94
v 1956.52 390.82
v 1034.04 2453.72
v 3139.47 3109.99
v 3233.29 3486.73
v 1370.24 878.07
v 1776.10 1374.73
v 3243.69 3496.86
v 1493.18 1026.94
v 2538.57 961.28
v 1649.99 1812.50
v 1782.29 1368.05
v 2954.30 583.15
v 2693.44 2104.78
v 1585.71 2775.88
v 1371.42 886.54
v 3139.56 811.68
v 1505.56 1031.03
v 1960.91 32.08
v 1025.81 3363.16
v 341.73 1490.44
v 1960.40 35.92
v 3135.38 813.12
v 1961.01 23.64
v 3140.05 794.95
v 1375.91 884.39
v 1023.13 2467.69
v 3147.93 3095.21
v 3468.16 378.36
v 2973.01 597.01
v 3245.73 3480.04
v 3469.79 377.36
v 1111.14 3465.04
v 1496.85 1025.44
v 343.16 1476.35
v 1962.17 34.07
v 3145.86 803.27
v 3146.39 797.46
v 3853.93 3410.68
Request 4500
s 3825.33 2064.73
s 3029.95 1050.79
s 540.72 2944.60
s 2971.35 584.30
s 1780.71 1356.32
s 3143.88 807.02
s 3131.46 809.90
s 2543.44 964.47
s 1485.78 1029.67
s 732.19 3342.71
s 3820.23 2070.84
s 1481.37 1035.09
s 733.60 3335.07
s 1036.11 3374.98
s 3468.28 369.26
s 2711.91 2115.86
s 1093.47 3449.47
s 3142.40 3101.51
s 1021.38 2461.94
s 1956.29 27.49
s 1027.09 3368.96
s 3149.57 816.37
s 1793.26 1371.68
s 3463.59 388.38
s 1366.82 888.23
s 1034.28 2455.92
s 3043.66 1047.66
s 1792.19 1367.78
s 550.85 2942.06
s 1027.35 3367.84
s 1591.65 2760.83
s 1089.01 3446.62
s 2699.93 2101.77
s 1594.84 2760.55
s 1372.32 879.10
s 1500.99 1038.62
s 3815.41 2062.89
s 3860.79 3416.75
s 2958.55 591.42
s 3245.15 3487.37
s 3146.50 816.44
s 356.87 1491.89
s 357.48 1492.19
s 3143.21 814.21
s 3146.28 3105.14
s 1707.59 2203.09
s 2966.52 592.81
s 3461.36 382.11
s 2957.38 586.62
s 1648.55 1805.52
s 1649.56 1810.23
s 3042.41 1041.58
s 2545.32 959.55
s 1366.97 895.83
s 1023.22 3369.42
s 1953.71 400.47
s 1017.94 3367.75
s 2966.47 584.56
s 1385.76 881.08
s 735.13 3352.10
s 733.37 3337.81
s 1706.41 2198.41
s 3474.13 381.46
s 1783.92 1375.60
s 3140.72 814.41
s 1499.21 1030.69
s 2966.21 593.04
s 3862.56 3413.61
s 1962.16 35.19
s 2962.40 588.65
s 1491.97 1030.88
s 3458.96 380.31
s 3233.02 3481.54
s 1946.75 405.62
s 3481.69 389.46
s 1031.55 3376.85
s 2531.28 976.42
s 1093.69 3443.29
s 3819.61 2081.52
s 2951.66 591.74
s 715.88 3346.01
s 3854.96 3414.45
s 3235.91 3495.72
s 1096.83 3458.94
s 1021.49 2466.61
s 2954.34 592.96
s 1706.19 2194.72
s 3414.46 3365.01
s 1088.87 3447.26
s 1699.62 2191.95
s 2525.66 965.78
s 3144.70 813.12
s 1958.12 34.73
s 3858.67 3406.96
s 3814.92 2078.06
s 3234.05 3483.35
s 3811.73 2079.73
s 349.09 1485.40
s 1651.35 1782.16
s 1948.09 400.02
s 3029.11 1055.54
s 1375.66 888.13
s 719.54 3338.03
s 1958.36 38.61
s 3152.75 3112.06
s 3472.23 387.78
s 1782.98 1363.54
s 1101.78 3457.83
s 1948.49 396.52
s 3472.36 378.39
s 1591.33 2759.64
s 3861.74 3404.74
s 3247.14 3472.95
s 3465.94 386.75
s 3248.36 3472.48
s 549.04 2941.93
s 3143.83 3100.27
s 2705.24 2108.46
s 3860.87 3416.33
s 3853.92 3407.57
s 3847.83 3420.96
s 3408.89 3377.32
s 1649.48 1808.94
s 3853.30 3396.93
s 3818.95 2077.48
s 3422.26 3373.68
s 1954.35 412.40
s 3038.38 1047.06
s 1960.69 41.74
s 349.11 1490.14
s 3233.41 3480.91
s 346.67 1492.86
s 1587.39 2767.73
s 2540.75 971.76
s 3134.06 814.39
s 3858.35 3413.99
s 357.61 1491.78
s 1373.70 881.14
s 1704.27 2194.66
s 2949.75 595.34
s 1644.71 1801.03
s 1651.46 1796.08
s 1034.48 2467.41
s 1704.30 2189.22
s 1030.55 2452.72
s 1787.22 1369.43
s 3038.31 1046.54
s 3143.84 3107.65
s 1708.48 2187.56
s 1704.53 2208.74
s 723.05 3332.73
s 1019.47 3369.35
s 1955.47 396.95
s 2954.55 586.81
s 2537.44 964.25
s 1769.80 1358.32
s 3034.28 1054.17
s 3041.53 1042.42
s 1021.95 3351.47
s 3242.94 3483.87
s 1016.72 3376.00
s 3156.66 3109.25
s 1655.43 1808.41
s 1372.52 879.74
s 1377.41 872.63
s 1704.16 2197.06
s 1373.24 884.49
s 1093.05 3446.38
s 1926.35 389.95
s 1375.69 879.81
s 720.51 3350.59
s 1591.24 2765.46
s 3148.14 3100.60
s 1383.56 877.56
s 1028.55 2461.45
s 545.06 2954.09
s 3410.28 3382.98
s 3478.54 379.84
s 1953.61 405.72
s 1374.37 881.82
s 1092.86 3441.28
s 2535.05 955.89
s 3813.38 2073.19
s 725.54 3347.89
s 3809.85 2070.10
s 1946.64 401.70
s 3138.68 808.66
s 344.04 1476.69
s 1709.84 2200.23
s 537.19 2950.15
s 3849.14 3407.70
s 3868.17 3431.64
s 1484.50 1032.75
s 3241.02 3481.64
s 1597.10 2759.25
s 3037.07 1047.66
s 3158.24 3107.37
s 3479.14 390.17
s 2526.69 968.80
s 3822.62 2068.90
s 1032.29 3371.42
s 744.71 3342.67
s 727.30 3337.78
s 3039.69 1050.41
s 3810.07 2068.82
s 3412.19 3369.73
s 1940.22 411.10
s 3137.44 813.88
s 542.42 2952.41
s 1962.38 32.80
s 1960.16 35.01
s 1027.75 3374.48
s 1578.88 2766.78
s 3473.66 383.06
s 2528.19 968.31
s 3396.85 3378.19
s 3138.07 813.65
s 1784.33 1369.35
s 1368.04 867.67
s 1708.65 2204.88
s 1717.33 2190.95
s 1378.88 883.91
s 1373.48 887.60
s 1785.72 1365.54
s 1596.88 2767.09
s 351.77 1483.37
s 1508.70 1040.66
s 1024.53 2456.46
s 1094.42 3450.59
s 1773.52 1364.72
s 3865.08 3411.98
s 537.20 2950.63
s 3036.37 1053.78
s 3136.45 798.64
s 1584.87 2765.34
s 350.41 1503.25
s 1103.02 3445.76
s 1668.32 1802.83
s 3250.79 3477.65
s 2714.24 2112.02
s 3151.70 3096.19
s 1792.07 1347.34
s 3852.54 3421.89
s 1659.08 1809.59
s 1784.97 1372.07
s 349.36 1492.37
s 1369.90 888.67
s 353.12 1484.34
s 3140.12 3102.21
s 2961.44 596.77
s 1095.68 3450.77
s 1658.45 1794.71
s 3824.04 2076.40
s 1367.02 871.97
s 3814.63 2066.06
s 1366.25 882.71
s 1636.89 1804.56
s 2702.30 2105.01
s 1024.31 2458.58
s 553.28 2950.14
s 3141.16 808.00
s 1955.67 399.74
s 2540.68 959.69
s 3844.04 3407.23
s 3139.57 811.07
s 1589.31 2758.84
s 1372.52 879.66
s 1021.35 3358.55
s 2537.90 961.05
s 547.40 2953.67
s 1960.50 33.20
s 1590.01 2761.19
s 1600.91 2767.54
s 3813.09 2064.97
s 3146.61 3118.55
s 1715.79 2193.44
s 3241.30 3484.60
s 1376.02 891.80
s 3237.55 3478.40
s 3138.57 802.72
s 1113.13 3448.11
s 3229.31 3481.87
s 551.95 2945.15
s 346.77 1492.31
s 336.02 1503.92
s 1487.56 1033.31
s 3153.74 3111.56
s 1090.71 3449.45
s 1959.28 39.96
s 3148.67 803.38
s 3133.91 805.50
s 1660.03 1804.57
s 1028.49 2459.49
s 3867.80 3406.75
s 2534.16 962.10
s 1585.26 2754.76
s 1646.90 1809.06
s 1017.44 3355.36
s 3247.26 3481.45
s 1024.98 2454.97
s 3127.84 812.04
s 1585.68 2763.80
s 3153.35 806.29
s 350.82 1489.99
s 3140.91 3104.33
s 3152.20 3102.73
s 1583.61 2756.39
s 1644.84 1802.46
s 1376.28 880.90
s 3138.08 815.88
s 2963.49 580.75
s 736.32 3346.83
s 1961.14 42.87
s 3414.09 3374.95
s 1104.32 3455.43
s 3149.44 3108.46
s 1376.53 886.23
s 1095.44 3454.51
s 3238.77 3489.92
s 1642.38 1805.78
s 2958.78 581.35
s 2698.10 2099.64
s 1940.56 30.74
s 1028.89 3380.59
s 2534.53 957.82
s 1103.13 3455.86
s 3242.69 3483.80
s 1776.36 1356.85
s 2549.65 965.03
s 1654.38 1789.49
s 1370.18 870.25
s 1954.21 34.32
s 1602.09 2753.99
s 3243.05 3482.08
s 3033.45 1048.05
s 547.50 2951.77
s 1608.94 2763.83
s 3472.92 399.60
s 341.82 1496.33
s 3240.55 3469.86
s 724.25 3344.94
s 1107.72 3442.55
s 3035.91 1061.06
s 1953.76 405.40
s 2968.86 589.24
s 1962.09 37.59
s 3807.13 2072.34
s 2702.14 2106.76
s 1021.28 3365.75
s 1485.06 1031.85
s 3138.17 811.54
s 3405.76 3363.63
s 1657.68 1808.49
s 1022.60 2470.37
s 1584.84 2754.63
s 1941.88 403.15
s 3153.94 3108.08
s 3861.26 3407.13
s 3816.64 2072.58
s 3234.79 3480.22
s 1588.14 2768.55
s 1023.27 3372.22
s 2535.11 962.02
s 2706.80 2104.66
s 2965.47 593.42
s 1029.04 2467.96
s 1022.33 3374.17
s 2545.15 964.98
s 1019.49 3364.06
s 2539.92 964.47
s 354.30 1484.58
s 3816.13 2064.38
s 1643.82 1803.72
s 3243.02 3484.47
s 1952.94 397.35
s 1651.64 1807.78
s 3821.00 2069.50
s 721.44 3340.58
s 1377.99 872.97
s 1025.87 2480.43
s 3859.63 3402.92
s 1368.38 872.42
s 1370.66 880.47
s 3852.54 3397.29
s 1099.13 3445.92
s 1650.14 1803.83
s 1585.05 2760.08
s 3472.04 376.16
s 3812.38 2075.51
s 2951.73 591.03
s 2703.80 2102.62
s 1946.27 394.91
s 3155.34 3124.64
s 743.80 3338.08
s 1595.02 2767.23
s 1098.54 3459.78
s 2958.99 597.26
s 1782.67 1377.42
s 3143.47 806.61
s 3420.83 3375.55
s 3478.53 388.51
s 1696.54 2188.76
s 3421.05 3364.10
s 1703.54 2203.72
s 345.12 1491.12
s 1491.19 1030.27
s 1090.44 3447.41
s 1034.31 3358.19
s 3141.85 3109.13
s 2963.19 587.22
s 2699.68 2117.70
s 726.06 3342.07
s 1097.65 3447.52
s 3870.73 3399.71
s 1034.35 3362.42
s 3139.36 813.29
s 2962.46 591.82
s 1373.28 869.30
s 3033.29 1041.64
s 1365.53 876.05
s 1491.88 1027.74
s 1503.41 1040.12
s 3239.94 3482.32
s 3422.06 3377.21
s 3146.81 3105.89
s 3817.36 2077.99
s 1772.75 1358.45
s 2699.51 2109.79
s 1780.53 1377.83
s 3136.99 811.16
s 2518.63 967.55
s 736.05 3334.19
s 1776.91 1366.92
s 1377.11 891.06
s 2543.82 959.64
s 2703.08 2108.98
s 1648.93 1791.23
s 1964.69 34.93
s 1094.14 3448.13
s 1950.84 402.65
s 726.13 3347.65
s 3818.77 2072.00
s 3228.60 3487.62
s 1495.54 1032.16
s 1377.37 877.70
s 1967.58 35.15
s 3132.50 3106.22
s 1933.20 396.65
s 723.04 3336.17
s 2544.77 957.78
s 2541.48 960.68
s 1592.06 2762.25
s 3233.43 3490.95
s 1367.20 877.03
s 2543.35 960.09
s 3410.76 3388.29
s 2960.36 599.04
s 341.29 1492.92
s 1486.87 1023.37
s 1782.77 1362.94
s 3134.80 806.93
s 1661.76 1794.33
s 3142.15 808.02
s 1037.05 2465.47
s 3240.04 3487.27
s 3461.07 394.56
s 3854.95 3407.33
s 3143.92 3118.02
s 1371.31 868.76
s 2962.62 596.92
s 1707.48 2200.47
s 3032.52 1045.97
s 3043.91 1056.82
s 3039.04 1043.60
s 1591.91 2760.88
s 1093.71 3440.08
s 341.16 1492.74
s 1585.67 2763.29
s 3861.22 3410.58
s 544.36 2949.30
s 1034.05 2451.79
s 3827.73 2072.94
s 3861.65 3405.90
s 1583.70 2769.44
s 3052.37 1053.65
s 3403.93 3381.37
s 1783.79 1370.10
s 3033.66 1042.86
s 2970.10 602.20
s 549.40 2938.71
s 1028.36 3366.59
s 1657.47 1792.66
s 349.94 1490.08
s 347.49 1486.92
s 1100.36 3454.05
s 1595.15 2753.13
s 3146.58 810.10
s 1653.07 1791.68
s 1775.66 1361.88
s 2701.37 2109.43
s 3418.36 3383.79
s 3468.97 377.11
s 734.79 3347.36
s 1779.98 1356.61
s 2533.55 961.55
s 1956.68 51.51
s 1946.20 401.04
s 549.84 2941.28
s 1095.09 3441.39
s 554.67 2942.13
s 1771.01 1361.02
s 1595.95 2761.20
s 722.60 3336.52
s 1366.13 885.94
s 1495.07 1039.73
s 726.58 3339.22
s 2960.11 588.18
s 2719.90 2106.92
s 531.74 2945.05
s 3237.73 3489.49
s 3477.13 393.79
s 3813.25 2066.34
s 1952.51 40.48
s 1646.60 1791.76
s 1660.58 1801.43
s 1363.99 880.52
s 346.31 1489.74
s 2959.27 590.77
s 2538.04 968.94
s 3810.75 2074.30
s 3477.20 368.13
s 734.16 3343.64
s 2544.29 962.18
s 1652.92 1822.49
s 3408.16 3376.80
s 1020.44 3378.47
s 1499.04 1040.94
s 730.10 3339.90
s 3030.29 1050.22
s 3462.74 381.72
s 3824.73 2071.97
s 1640.84 1790.95
s 721.41 3334.20
s 1043.61 3369.45
s 1586.51 2755.56
s 1789.07 1360.96
s 724.81 3335.18
s 3039.13 1053.98
s 2961.12 588.69
s 3411.02 3376.78
s 362.71 1495.40
s 346.75 1485.76
s 1703.47 2197.38
s 3467.35 387.07
s 1494.58 1031.95
s 3859.07 3419.98
s 3158.71 3108.91
s 2947.88 582.50
s 1028.49 3361.65
s 1638.68 1806.82
s 3246.14 3479.58
s 1017.98 2465.77
s 1698.57 2192.75
s 3815.67 2081.51
s 1649.21 1802.20
s 1947.60 400.04
s 3238.32 3486.64
s 3048.92 1060.49
s 345.68 1495.63
s 3142.58 3106.23
s 3418.55 3376.96
s 3043.08 1043.62
s 1098.94 3438.83
s 1786.61 1372.15
s 2713.62 2105.85
s 2956.44 587.25
s 1711.68 2196.42
s 1639.23 1801.30
s 3149.86 3107.11
s 3241.56 3491.76
s 2952.75 600.37
s 1377.65 875.54
s 1952.55 408.99
s 3235.22 3481.08
s 3416.37 3377.40
s 718.88 3324.84
s 1588.82 2756.38
s 2955.76 593.99
s 1700.88 2185.56
s 1644.31 1805.37
s 3227.95 3487.88
s 3415.82 3379.63
s 1705.67 2200.73
s 3245.74 3476.54
s 3240.65 3481.33
s 1084.21 3458.12
s 1093.32 3457.81
s 1095.32 3449.32
s 3420.35 3375.20
s 1035.99 3371.89
s 1495.54 1027.98
s 3240.24 3477.88
s 341.77 1487.74
s 1782.26 1367.86
s 546.96 2940.32
s 3141.51 818.26
s 1099.27 3445.02
s 3145.29 800.04
s 1023.70 3369.82
s 3028.75 1045.15
s 3041.48 1051.43
s 2544.48 962.21
s 3819.81 2066.78
s 1786.06 1366.55
s 1488.79 1032.97
s 3418.83 3368.67
s 3142.74 3114.98
s 346.45 1494.50
s 1644.77 1797.84
s 537.83 2947.92
s 1375.27 877.11
s 1096.29 3443.66
s 550.20 2950.74
s 721.55 3330.12
s 3463.27 388.28
s 3037.99 1055.75
s 3834.70 2059.80
s 1784.64 1365.40
s 3162.79 3116.25
s 344.73 1486.03
s 351.16 1492.09
s 3413.65 3377.05
s 3143.02 810.78
s 3151.82 3105.13
s 3235.15 3480.76
s 3154.32 3110.26
s 2964.71 583.01
s 1942.29 402.83
s 1379.98 876.98
s 3144.30 820.52
s 3471.16 377.02
s 3480.41 380.93
s 1706.49 2190.82
s 1496.11 1024.62
s 1029.61 3355.23
s 1590.32 2758.56
s 1029.86 2454.65
s 1786.99 1366.10
s 3038.31 1059.39
s 353.87 1485.73
s 3124.57 822.10
s 3855.60 3423.57
s 2698.59 2096.46
s 1714.75 2185.25
s 3232.50 3489.47
s 3235.63 3483.06
s 3465.96 389.16
s 1591.63 2762.87
s 1951.01 398.09
s 3137.79 809.74
s 2966.61 594.37
s 1953.72 384.96
s 1708.25 2194.84
s 3416.29 3378.51
s 1963.23 32.50
s 1487.52 1032.57
s 1104.89 3453.09
s 3143.74 3109.34
s 2533.86 966.50
s 3467.64 383.24
s 2969.87 585.26
s 3819.03 2057.37
s 1768.29 1368.23
s 1795.32 1370.90
s 1965.42 22.02
s 1946.68 403.63
s 3135.59 806.82
s 1781.56 1367.18
s 3154.95 3104.75
s 3466.26 380.59
s 1589.69 2769.56
s 1710.98 2181.53
s 1024.97 2459.27
s 3233.29 3492.63
s 2712.41 2111.39
s 342.18 1485.09
s 1022.00 3378.70
s 3861.81 3415.27
s 1659.62 1786.84
s 3855.31 3416.95
s 3144.18 798.22
s 359.53 1495.62
s 343.41 1491.44
s 1966.96 30.67
s 2960.09 593.53
s 1024.53 2458.37
s 734.24 3356.51
s 3813.22 2076.72
s 1960.96 43.81
s 2693.52 2102.00
s 3147.60 3110.35
s 3463.89 382.12
s 1974.84 37.90
s 3460.24 378.96
s 3470.25 393.35
s 2964.82 587.50
s 3858.47 3400.77
s 1967.42 39.05
s 3136.55 814.54
s 3470.35 392.58
s 3232.80 3481.19
s 3240.13 3482.32
s 336.04 1485.89
s 541.61 2944.02
s 3472.61 375.81
s 3852.56 3413.85
s 727.45 3337.82
s 2965.89 593.63
s 3413.59 3380.19
s 1369.24 894.11
s 1019.83 2467.99
s 3813.81 2067.68
s 353.88 1496.12
s 1093.43 3446.87
s 2960.15 596.08
s 1939.58 411.28
s 2962.77 594.52
s 534.18 2960.68
s 1486.10 1037.71
s 336.38 1495.40
s 1963.84 36.51
s 3141.52 792.42
s 3407.24 3378.69
s 1027.17 3379.53
s 1954.41 32.87
s 1367.02 875.54
s 540.13 2946.72
s 3855.52 3405.94
s 1701.05 2192.94
s 1109.72 3443.80
s 1093.21 3445.73
s 1941.08 396.58
s 3149.85 3114.71
s 2701.05 2096.92
s 1480.30 1038.97
s 3416.48 3381.77
s 542.39 2943.94
s 541.17 2948.18
s 3043.80 1048.02
s 352.61 1482.48
s 3151.64 806.91
s 1708.34 2190.80
s 3403.14 3377.63
s 1023.34 3362.23
s 1373.78 887.77
s 3467.93 385.81
s 1710.82 2205.32
s 3168.37 3115.63
s 1780.38 1371.23
s 1585.42 2763.02
s 1367.01 888.64
s 2706.36 2110.70
s 2956.02 591.17
s 1770.82 1365.66
s 1958.83 37.68
s 1589.54 2764.74
s 3473.90 386.32
s 1027.75 2455.19
s 1956.83 395.07
s 2540.30 963.11
s 1946.40 386.75
s 3133.97 801.60
s 3037.58 1040.99
s 3481.70 387.74
s 3144.71 3107.90
s 2700.97 2108.88
s 3245.75 3483.03
s 2708.30 2106.00
s 337.81 1481.97
s 2704.05 2099.97
s 1964.77 46.95
s 3411.14 3381.87
s 3233.29 3479.01
s 2707.69 2112.60
