Vehicle 250
v 3619.29 3896.99
v 1429.43 2941.11
v 3475.51 973.36
v 1892.28 3972.00
v 1948.44 679.46
v 1875.69 3979.07
v 3460.50 943.04
v 953.25 2555.63
v 3480.78 966.73
v 3619.88 3889.13
v 1867.38 3973.83
v 1404.92 2934.81
v 970.30 2572.59
v 3457.68 946.89
v 1954.25 710.33
v 1429.26 2925.37
v 3576.66 2824.26
v 3620.91 3875.58
v 1872.35 3976.51
v 1002.53 2559.09
v 1954.80 699.12
v 3585.49 2821.73
v 3465.65 955.61
v 1426.95 2947.78
v 1955.36 705.38
v 3622.91 3919.41
v 1872.95 3970.10
v 3471.48 954.89
v 3489.08 969.11
v 1425.12 2941.80
v 953.52 2575.81
v 1423.61 2936.98
v 3472.01 954.58
v 1429.53 2932.18
v 3920.65 2266.00
v 997.41 1120.78
v 3924.48 2277.03
v 3927.61 2253.29
v 1878.71 3973.38
v 1952.41 705.73
v 968.13 2555.27
v 1869.37 3961.51
v 1942.08 708.17
v 3915.74 2262.70
v 3578.62 2813.32
v 3618.60 2449.70
v 3618.61 3913.90
v 1880.70 3979.86
v 3937.73 2268.14
v 1862.28 3989.81
v 3937.54 2245.53
v 3915.88 2274.28
v 999.78 2542.45
v 1875.53 3951.70
v 3478.67 955.54
v 3920.15 2266.02
v 3465.95 950.90
v 1877.17 3971.56
v 1945.23 701.90
v 993.83 2553.07
v 3915.51 2276.88
v 955.77 2576.52
v 3934.85 2260.61
v 1420.95 2935.05
v 1001.88 1130.05
v 1955.75 704.27
v 3636.74 2443.50
v 3588.49 2836.44
v 1867.63 3985.28
v 3483.23 959.95
v 3951.47 2276.89
v 3622.43 3897.36
v 3583.66 2815.40
v 990.60 1123.63
v 3610.29 3903.00
v 994.21 1117.18
v 989.49 1110.74
v 3617.23 2440.04
v 3588.19 2820.40
v 989.18 1139.90
v 981.84 1116.58
v 3575.36 2819.02
v 970.35 2563.08
v 952.05 2559.81
v 3623.91 3920.00
v 996.77 1135.19
v 977.92 1121.51
v 982.23 1122.09
v 1890.69 3961.62
v 1936.39 706.00
v 3459.58 976.35
v 3616.09 2438.67
v 3928.52 2269.00
v 3442.96 968.73
v 971.48 2565.56
v 3473.26 955.20
v 1417.39 2930.50
v 3627.16 2436.84
v 1412.43 2937.50
v 976.30 1135.07
v 978.22 2575.25
v 965.80 2533.18
v 3932.24 2255.97
v 3910.04 2263.61
v 990.67 1134.13
v 3924.83 2278.28
v 991.95 1115.47
v 1012.75 1135.39
v 986.60 1123.89
v 1423.71 2939.98
v 3609.00 3892.04
v 3934.78 2259.48
v 3918.31 2265.93
v 3483.34 959.89
v 3632.19 2445.39
v 1860.06 3976.11
v 975.98 2564.33
v 3914.27 2268.75
v 3471.02 961.16
v 3575.24 2825.39
v 979.64 1124.97
v 3578.81 2812.22
v 1422.06 2933.84
v 3605.41 3911.00
v 3629.68 2454.09
v 1882.68 3966.44
v 3921.14 2261.36
v 1878.22 3966.89
v 1963.76 679.75
v 1423.39 2933.50
v 3627.28 2453.72
v 1425.06 2945.66
v 1950.96 709.94
v 3610.41 3901.71
v 3607.33 3901.61
v 1860.67 3967.39
v 983.00 1127.08
v 978.58 2546.94
v 979.51 2561.78
v 3923.10 2273.23
v 3599.74 3918.94
v 1001.70 1122.06
v 1959.48 692.64
v 961.78 2566.14
v 960.26 2554.64
v 3925.24 2254.67
v 3614.43 2456.71
v 1429.76 2935.49
v 1411.43 2915.05
v 989.91 1141.27
v 3917.40 2278.28
v 3917.53 2264.02
v 965.56 2553.12
v 973.92 1120.70
v 1865.97 3967.21
v 3578.24 2813.44
v 1876.48 3966.60
v 1947.70 697.97
v 962.54 2561.56
v 967.53 2563.31
v 1951.72 708.51
v 1423.97 2930.19
v 3585.44 2813.90
v 3934.41 2286.46
v 3923.66 2273.09
v 3616.88 3908.20
v 1892.96 3983.18
v 1428.89 2921.77
v 3607.69 3899.11
v 3610.07 3888.74
v 3627.95 2449.36
v 3599.18 3895.63
v 3468.46 961.15
v 1434.88 2924.01
v 1868.92 4000.72
v 1890.27 3967.80
v 3622.78 3899.65
v 3637.24 2455.18
v 978.01 1128.43
v 1881.30 3958.95
v 1423.30 2942.12
v 3480.40 948.91
v 1427.44 2932.88
v 1959.08 717.50
v 3480.21 955.64
v 3616.02 3893.11
v 1416.24 2919.20
v 1415.77 2928.10
v 1952.23 685.98
v 3461.38 966.81
v 970.13 2554.96
v 1946.90 694.78
v 3474.55 972.84
v 1415.94 2934.17
v 3626.27 3894.95
v 1442.41 2936.22
v 3629.52 3902.34
v 978.48 2568.68
v 1423.72 2927.47
v 1001.04 1124.34
v 985.64 1115.09
v 3624.37 2437.83
v 3613.02 2446.16
v 1938.71 689.41
v 3631.19 2444.35
v 969.91 2541.46
v 1938.95 689.29
v 1953.81 695.35
v 3585.37 2824.74
v 994.21 1148.54
v 3580.51 2829.54
v 3478.48 952.43
v 3600.08 2825.70
v 957.99 2563.91
v 3634.98 2456.45
v 1941.94 710.46
v 3454.56 966.09
v 3600.32 3892.52
v 1421.95 2943.83
v 977.89 2565.35
v 988.13 2555.85
v 1958.35 708.14
v 3631.61 2437.53
v 3629.55 2450.40
v 3481.62 958.55
v 1873.15 3962.87
v 1898.40 3968.48
v 3930.32 2275.32
v 3561.48 2814.54
v 1967.69 691.23
v 3923.27 2274.49
v 1421.69 2909.32
v 1951.92 697.22
v 1949.84 676.01
v 1006.99 1120.15
v 969.78 2554.41
v 1951.57 690.72
v 1424.30 2935.58
v 1871.35 3983.44
v 3564.40 2812.25
v 977.51 1122.93
v 3596.11 2819.04
v 1892.64 3951.75
v 1890.58 3968.26
v 3639.27 2448.47
v 3598.23 2822.09
v 1877.14 3971.37
v 3625.17 2450.39
v 3477.66 945.52
v 3477.95 966.42
Request 4500
s 1958.12 695.04
s 1871.44 3950.70
s 1874.61 3963.97
s 3469.47 960.88
s 3580.02 2812.75
s 964.77 1123.29
s 3624.90 3906.95
s 948.50 2560.35
s 963.66 2566.00
s 3635.01 2466.27
s 956.13 2555.51
s 3629.70 3908.30
s 1450.82 2922.00
s 3468.86 958.91
s 1408.64 2926.96
s 975.90 2553.07
s 3471.03 961.79
s 1955.00 685.65
s 988.78 1131.74
s 1954.18 696.60
s 1433.61 2922.69
s 3465.62 952.62
s 1952.36 698.80
s 3578.72 2812.24
s 3614.24 3892.49
s 3582.62 2813.79
s 3619.12 2442.91
s 3571.02 2824.44
s 3465.57 967.94
s 987.55 1141.08
s 1881.80 3971.42
s 1432.68 2922.62
s 3614.87 3902.33
s 1894.85 3951.42
s 1011.97 1138.24
s 1435.84 2935.68
s 1416.41 2942.73
s 3558.79 2831.57
s 1427.99 2937.56
s 3579.42 2824.78
s 3587.73 2833.88
s 1435.01 2928.06
s 3465.41 950.74
s 1429.55 2949.56
s 975.61 2555.66
s 951.74 2566.92
s 3908.50 2257.32
s 969.38 1119.58
s 3627.50 3909.26
s 3626.41 2461.12
s 3470.01 953.91
s 3616.48 3893.69
s 1421.98 2932.58
s 967.36 2549.20
s 3620.42 2444.03
s 1954.27 693.12
s 3626.56 3899.66
s 3639.82 2457.93
s 1876.25 3969.34
s 3470.20 950.79
s 3601.62 2820.14
s 3912.77 2273.93
s 1429.35 2929.58
s 1958.47 706.50
s 3494.27 960.13
s 3900.43 2250.76
s 3592.82 2835.83
s 963.76 2573.07
s 3630.30 2458.75
s 1877.33 3976.20
s 3614.04 3928.56
s 988.78 2556.49
s 993.82 1127.37
s 1417.28 2937.76
s 3923.82 2269.19
s 1964.57 694.10
s 1956.10 683.37
s 3623.80 3913.20
s 1869.06 3968.80
s 950.71 2564.77
s 3481.20 954.89
s 1010.62 1128.41
s 3462.97 954.36
s 3917.10 2270.39
s 3584.73 2808.05
s 994.05 1127.56
s 1423.46 2947.53
s 1875.84 3971.18
s 969.76 1118.53
s 3569.35 2827.99
s 3915.40 2276.27
s 3617.19 2450.18
s 1439.13 2922.03
s 3943.84 2284.53
s 3447.83 943.20
s 3621.50 3923.78
s 1871.45 3977.12
s 989.24 2555.48
s 3590.55 2832.56
s 981.90 1124.58
s 1951.65 681.81
s 3588.64 2821.42
s 3624.61 2445.91
s 3638.10 2439.72
s 1953.72 700.96
s 3630.29 3906.24
s 3576.48 2817.33
s 1402.74 2924.99
s 3936.13 2263.10
s 3910.91 2258.96
s 3620.14 3901.63
s 1422.06 2953.83
s 3604.22 2460.95
s 3624.31 2444.56
s 1877.63 3963.07
s 975.39 2561.58
s 984.48 1112.85
s 1954.92 718.70
s 1882.09 3964.14
s 1936.93 705.58
s 978.10 1125.22
s 1942.45 703.66
s 3576.70 2818.12
s 3613.14 3903.27
s 3485.21 967.97
s 954.35 2581.17
s 1448.66 2942.61
s 3632.63 2449.30
s 3465.50 955.63
s 975.74 2553.64
s 973.61 1147.37
s 3478.42 936.59
s 948.50 2569.68
s 952.80 2568.17
s 978.09 2557.74
s 3586.60 2806.28
s 962.74 2562.65
s 1876.39 3977.17
s 985.00 1125.62
s 971.04 2567.73
s 961.69 2580.32
s 986.64 1116.39
s 3599.66 3916.40
s 3630.92 2467.16
s 1412.34 2924.54
s 983.31 1131.62
s 3617.72 3901.36
s 1428.58 2932.06
s 977.49 2562.33
s 1939.53 700.85
s 965.88 2554.02
s 3613.20 2430.62
s 3627.61 2432.97
s 3629.76 2458.31
s 986.36 1125.54
s 3457.66 956.67
s 3922.01 2264.64
s 3470.00 950.55
s 1864.75 3969.87
s 996.35 1129.88
s 1427.36 2921.36
s 1416.83 2943.43
s 972.89 2554.32
s 3925.65 2256.99
s 1419.67 2948.48
s 1414.77 2940.72
s 993.85 1117.57
s 3920.98 2279.35
s 1426.91 2944.10
s 3449.07 967.54
s 3596.16 2827.05
s 3920.81 2269.38
s 3459.36 931.88
s 971.26 2562.11
s 3610.11 3906.83
s 3463.76 969.45
s 992.09 1138.42
s 3933.15 2263.26
s 1874.36 3967.00
s 3630.23 2449.35
s 3466.03 945.59
s 3646.16 2436.06
s 3930.54 2261.80
s 3630.64 2455.24
s 3638.39 2440.45
s 3634.49 2442.09
s 3467.66 954.64
s 3585.29 2815.06
s 3480.92 951.57
s 1941.11 692.83
s 960.84 2567.42
s 3588.99 2820.97
s 3616.52 2458.29
s 1878.79 3963.90
s 3473.16 951.19
s 946.11 2562.81
s 3587.20 2813.29
s 1428.59 2948.44
s 1872.40 3965.47
s 1413.13 2920.49
s 1889.29 3964.56
s 1881.47 3967.79
s 970.64 2548.61
s 992.93 1116.90
s 3623.18 2468.73
s 1962.08 679.19
s 1006.18 1118.81
s 993.47 1113.83
s 3595.26 2804.67
s 1962.74 695.98
s 1938.71 697.45
s 978.45 1133.19
s 973.07 2557.37
s 975.56 2539.41
s 3930.81 2254.69
s 3614.09 2433.60
s 1933.71 706.94
s 968.59 2560.88
s 970.13 1112.77
s 1404.91 2941.80
s 3933.03 2265.01
s 3596.24 2801.24
s 1949.99 699.64
s 3458.77 965.42
s 3598.57 3913.28
s 975.36 1133.23
s 3917.28 2256.15
s 3605.30 3892.34
s 1412.65 2943.69
s 3461.78 956.37
s 3472.33 953.81
s 3467.98 936.02
s 3581.71 2834.67
s 3906.19 2292.10
s 3630.69 2455.20
s 3624.16 3896.52
s 3925.74 2275.32
s 3581.73 2835.04
s 3910.91 2263.74
s 1418.16 2943.25
s 3920.26 2262.55
s 1885.63 3971.43
s 1881.22 3981.26
s 1941.95 706.45
s 3477.29 951.68
s 1428.56 2928.13
s 1867.02 3963.85
s 1865.46 3974.65
s 3481.09 955.46
s 3607.60 3895.64
s 1010.44 1140.30
s 3915.00 2266.08
s 985.99 1124.91
s 3617.09 3921.05
s 1428.77 2921.74
s 1873.06 3980.93
s 1434.04 2923.35
s 3581.00 2821.87
s 1420.69 2940.43
s 3597.94 2819.21
s 3600.77 2809.42
s 3579.15 2815.74
s 1412.04 2933.63
s 3624.12 2429.68
s 973.41 2556.31
s 966.94 2556.81
s 977.10 1120.70
s 3457.23 961.15
s 994.59 1126.09
s 1945.89 704.98
s 967.77 2572.00
s 1942.85 699.48
s 3476.60 955.60
s 3580.08 2817.92
s 3599.96 3893.66
s 969.84 1119.02
s 988.00 1140.24
s 3641.68 2445.01
s 1869.37 3960.17
s 3603.91 2822.32
s 1886.63 3960.38
s 3570.91 2810.18
s 3465.92 951.22
s 3609.19 3904.06
s 3486.60 966.59
s 1875.59 3963.06
s 3923.51 2262.52
s 3617.86 3907.81
s 992.76 2563.94
s 973.69 2568.33
s 961.99 2567.76
s 1415.69 2941.26
s 975.84 1124.17
s 955.48 2563.68
s 1877.29 3951.15
s 1945.53 698.70
s 1971.25 698.12
s 1424.38 2946.94
s 1428.19 2927.23
s 970.22 2540.01
s 3649.59 2452.06
s 3630.54 2437.98
s 1948.01 693.89
s 978.57 1128.12
s 1428.35 2954.62
s 3638.14 2456.14
s 1962.89 691.40
s 968.72 2560.96
s 3467.97 950.39
s 1872.63 3977.66
s 982.39 2557.32
s 3454.79 944.18
s 1423.55 2915.14
s 3623.77 3899.27
s 3621.26 2450.35
s 1947.67 687.53
s 3632.05 2440.71
s 3621.06 3895.56
s 3624.94 2434.79
s 1952.83 690.47
s 980.40 2574.43
s 1963.54 697.48
s 3453.97 951.28
