instance,ALG1_maxobj,ALG1_minobj,ALG1_avgobj,ALG1_maxtime,ALG1_mintime,ALG1_avgtime,ALG2_maxobj,ALG2_minobj,ALG2_avgobj,ALG2_maxtime,ALG2_mintime,ALG2_avgtime,LADG_maxobj,LADG_minobj,LADG_avgobj,LADG_maxtime,LADG_mintime,LADG_avgtime
rasp_gaussian_m250_k10_c25_s100,1005097.87109,821787.80355,899797.203114,20.121123,18.46841,19.389588,1343806.318343,1093920.554922,1227210.391863,89.587142,84.18618,87.025093,2084774.741912,1676185.990153,1841205.006825,24.812993,23.216509,23.9087
rasp_gaussian_m250_k11_c25_s100,992870.527869,767147.430521,918677.826117,28.506123,22.567752,24.007788,1375145.190312,1102354.929747,1261543.560481,111.567795,103.541314,107.291207,2501994.430762,2048398.675433,2342933.500902,35.627705,32.763423,34.506454
rasp_gaussian_m250_k12_c25_s100,1121535.097283,909468.999473,991968.373892,30.346395,28.100784,29.332642,1506510.624664,1171800.891268,1338803.506357,150.353555,128.356573,133.987885,2296926.953488,1845644.348648,2025431.034523,41.41367,38.92453,39.697048
rasp_gaussian_m250_k13_c25_s100,1084637.023058,854476.593892,990262.935026,35.259623,33.894381,34.689157,1481266.79002,1145611.724801,1338730.622779,185.433057,152.767475,161.140185,2650040.780061,2224340.271052,2498375.838347,55.475104,49.73124,51.986806
rasp_gaussian_m250_k14_c25_s100,1130163.015623,866912.000482,979322.525336,45.006388,39.709221,41.455568,1524882.027257,1169907.705033,1311519.395157,213.27584,181.506816,189.061915,2762271.923842,2343695.142908,2504806.977117,64.611137,60.782867,62.300641
rasp_gaussian_m250_k15_c25_s100,1094435.345281,922535.033301,1012350.278735,49.502423,45.064171,47.975562,1448098.52803,1222804.997044,1345384.159314,248.858766,215.024122,224.228629,3145804.651564,2841643.928884,2986189.010843,80.239439,76.034744,78.353077
rasp_gaussian_m250_k16_c25_s100,1122781.633533,957432.504619,1022900.386326,56.837068,53.025258,55.219252,1459919.058282,1234831.916519,1362876.611652,292.291463,244.61153,261.254934,1425784.901112,1278762.741043,1358172.375727,91.543034,85.318269,88.74041
rasp_gaussian_m250_k17_c25_s100,1096230.49913,927284.234608,1018537.721761,66.823935,60.369256,63.285466,1458341.008816,1257524.510686,1358449.614947,348.659632,287.117243,300.147071,2092481.05683,1742232.855834,1894005.586013,112.191191,105.68225,108.759247
rasp_gaussian_m250_k18_c25_s100,1117025.938764,883730.415161,1028336.162571,84.210583,68.157379,72.563299,1451216.29419,1139849.837718,1363395.138165,399.909476,314.170017,340.04397,2211324.531235,1769220.557859,2023403.287442,133.606769,125.035532,129.888731
rasp_gaussian_m250_k19_c25_s100,1085506.45998,984573.71477,1029960.980827,83.549504,75.387283,81.376255,1503695.540645,1303193.52591,1379106.275768,427.247312,355.823026,382.86864,2780095.744711,2360173.468411,2545010.74696,163.69295,149.764134,156.087174
rasp_gaussian_m250_k20_c25_s100,1192733.955381,987873.320129,1076263.395682,93.311128,88.315264,91.177141,1594283.898268,1317665.605423,1415786.741224,504.330921,417.09329,433.725712,2302034.591975,1992989.915278,2145824.596785,188.062997,170.969662,178.393467
rasp_gaussian_m250_k21_c25_s100,1175099.996487,969632.689056,1076577.954262,118.769315,98.677673,104.013563,1575077.560224,1264085.216551,1416368.322139,484.662587,461.534387,474.106111,2853456.363737,2406559.523879,2634888.162222,211.253535,203.249095,207.082843
rasp_gaussian_m250_k22_c25_s100,1176299.33699,969301.025648,1058584.74956,115.02279,107.883668,112.517143,1530471.371775,1253139.32926,1392084.82292,598.350474,519.403948,533.852162,2985571.455633,2362131.060648,2690387.960627,257.281807,234.56772,241.583703
rasp_gaussian_m250_k23_c25_s100,1216299.111654,919999.23061,1060662.948752,140.968503,121.723411,126.82028,1557635.428636,1233017.170861,1407021.999394,672.77235,583.060177,610.560678,3387767.073464,2618817.958736,3112585.311409,289.299839,274.465918,281.740928
rasp_gaussian_m250_k24_c25_s100,1188364.575531,938803.539259,1071975.377107,165.973976,129.506992,144.95156,1505964.004977,1248525.264381,1416163.77203,656.464415,625.333126,640.075036,2301620.23952,2028041.46164,2140778.22508,330.445556,320.819285,325.721151
rasp_gaussian_m250_k25_c25_s100,1179481.249906,959247.407395,1101225.917936,165.503305,149.201813,155.087135,1572659.646608,1290979.008302,1457583.277053,802.481234,688.204909,725.677659,3077187.378069,2401745.520496,2744366.602354,374.673773,353.553293,364.598201
rasp_gaussian_m250_k26_c25_s100,1278971.743192,987102.952949,1079477.668937,184.668941,161.457551,166.603038,1668370.707788,1285848.836341,1408164.059342,909.518838,763.689347,806.517034,2966628.922536,2426944.650511,2659359.936378,433.351399,415.094666,425.979991
rasp_gaussian_m250_k27_c25_s100,1246598.565756,1035841.848458,1124904.174558,211.530109,173.614564,182.696053,1601272.897068,1335526.291431,1450328.242016,949.760858,835.129134,867.051997,3656348.055209,2887938.637247,3242529.539873,499.475945,480.369868,491.163409
rasp_gaussian_m250_k28_c25_s100,1246040.712655,1006392.522095,1109764.311461,227.628998,190.608272,200.566054,1596446.258485,1334467.729462,1422831.527675,1024.503409,913.465468,966.520859,3148078.833,2507532.634716,2800845.049418,581.204273,541.361908,560.506361
