instance,ALG1_obj,ALG1_runtime,ALG2_obj,ALG2_runtime,HRA_obj,HRA_runtime
rasp_gaussian_m100_k18_c25_s100_m1_g1,618541.712420,8.877669,753363.367084,40.728113,994196.186423,9.674710
rasp_gaussian_m100_k18_c25_s100_m1_g10,643653.393851,8.711062,778552.121759,40.552135,988670.510718,9.069345
rasp_gaussian_m100_k18_c25_s100_m1_g2,671010.584264,8.779987,748899.218645,39.778979,938061.963606,9.795334
rasp_gaussian_m100_k18_c25_s100_m1_g3,624690.985997,8.521813,735360.427574,40.296749,912077.806735,9.035785
rasp_gaussian_m100_k18_c25_s100_m1_g4,594669.260178,8.978295,742733.604968,40.964132,862989.729733,9.716929
rasp_gaussian_m100_k18_c25_s100_m1_g5,611617.053575,9.298801,759351.482458,47.909921,992653.740852,9.665928
rasp_gaussian_m100_k18_c25_s100_m1_g6,639026.134608,8.769963,752670.358661,40.369362,890243.931725,9.600424
rasp_gaussian_m100_k18_c25_s100_m1_g7,589133.551493,8.681842,736947.291830,40.310598,858050.620283,9.790978
rasp_gaussian_m100_k18_c25_s100_m1_g8,674301.576304,8.766727,772255.663640,40.215574,968395.087611,9.496130
rasp_gaussian_m100_k18_c25_s100_m1_g9,609493.300893,8.606670,722855.243241,40.955508,877746.289007,9.331944
rasp_gaussian_m150_k18_c25_s100_m2_g1,741637.720123,21.760036,969465.910486,101.181866,1259687.922709,29.423069
rasp_gaussian_m150_k18_c25_s100_m2_g10,666236.120995,22.538610,858145.635590,102.796399,1157777.980473,29.406575
rasp_gaussian_m150_k18_c25_s100_m2_g2,743656.412747,22.478023,928589.347319,103.182339,1255035.976264,28.767622
rasp_gaussian_m150_k18_c25_s100_m2_g3,771285.981618,22.816740,958349.740381,104.514284,1257780.471021,29.077050
rasp_gaussian_m150_k18_c25_s100_m2_g4,682680.748094,22.351007,886643.289793,105.533955,1250565.753668,28.439552
rasp_gaussian_m150_k18_c25_s100_m2_g5,817583.117781,22.712676,1017294.045291,104.951044,1307076.677412,29.007525
