instance,ALG1_obj,ALG1_runtime,ALG2_obj,ALG2_runtime,HRA_obj,HRA_runtime
rasp_gaussian_m250_k10_c25_s100_k9_g1,821787.803550,19.348941,1093920.554922,87.864364,1693025.897670,23.216509
rasp_gaussian_m250_k10_c25_s100_k9_g10,851634.854160,18.959755,1156422.434075,88.459304,1678457.587882,23.488417
rasp_gaussian_m250_k10_c25_s100_k9_g2,844033.040940,19.132798,1202418.762793,89.587142,1768128.879956,24.280641
rasp_gaussian_m250_k10_c25_s100_k9_g3,1005097.871090,19.591604,1343806.318343,86.809930,2084774.741912,23.633304
rasp_gaussian_m250_k10_c25_s100_k9_g4,934559.215189,19.602690,1289148.544152,86.694152,1923397.881125,23.621905
rasp_gaussian_m250_k10_c25_s100_k9_g5,823431.711791,20.121123,1141072.977136,88.501374,1676185.990153,24.232970
rasp_gaussian_m250_k10_c25_s100_k9_g6,919571.994367,18.468410,1245544.345281,84.424138,1785199.244421,24.161869
rasp_gaussian_m250_k10_c25_s100_k9_g7,910417.996205,19.970981,1255783.817154,87.700645,1935486.876390,24.812993
rasp_gaussian_m250_k10_c25_s100_k9_g8,966206.288023,19.484767,1280973.147127,84.186180,1889996.906225,23.575211
rasp_gaussian_m250_k10_c25_s100_k9_g9,921231.255823,19.214809,1263013.017647,86.023702,1977396.062519,24.063180
rasp_gaussian_m250_k11_c25_s100_k10_g1,992870.527869,24.067068,1331651.264113,103.541314,2496610.447219,35.612296
rasp_gaussian_m250_k11_c25_s100_k10_g10,958323.901389,24.617930,1254669.533253,106.625661,2387232.428753,32.763423
rasp_gaussian_m250_k11_c25_s100_k10_g2,902867.349358,23.068567,1271572.511097,103.598799,2340438.333479,35.627705
rasp_gaussian_m250_k11_c25_s100_k10_g3,767147.430521,23.587942,1102354.929747,106.570499,2048398.675433,34.529150
rasp_gaussian_m250_k11_c25_s100_k10_g4,909567.526269,28.506123,1214440.036148,110.753028,2300527.332657,34.488024
rasp_gaussian_m250_k11_c25_s100_k10_g5,957764.632511,22.567752,1302878.596800,106.113855,2419025.785147,35.156268
rasp_gaussian_m250_k11_c25_s100_k10_g6,907470.633004,22.812631,1224386.453747,108.047919,2267724.878567,34.826159
rasp_gaussian_m250_k11_c25_s100_k10_g7,962951.100100,24.166366,1375145.190312,106.688524,2501994.430762,33.584145
rasp_gaussian_m250_k11_c25_s100_k10_g8,968526.984372,22.775286,1358212.938421,111.567795,2470051.397547,34.301181
rasp_gaussian_m250_k11_c25_s100_k10_g9,859288.175777,23.908213,1180124.151177,109.404673,2197331.299460,34.176190
rasp_gaussian_m250_k12_c25_s100_k11_g1,909468.999473,28.490586,1328305.167096,128.356573,1845644.348648,39.508367
rasp_gaussian_m250_k12_c25_s100_k11_g10,1121535.097283,28.100784,1506510.624664,150.353555,2151136.625227,38.924530
rasp_gaussian_m250_k12_c25_s100_k11_g2,1005061.771289,29.482581,1344525.078241,134.864626,1968408.019117,40.556268
rasp_gaussian_m250_k12_c25_s100_k11_g3,981327.158829,29.925911,1297784.756383,135.684724,2064568.855786,39.689959
rasp_gaussian_m250_k12_c25_s100_k11_g4,910789.117779,30.346395,1171800.891268,131.352135,1881071.266355,41.413670
rasp_gaussian_m250_k12_c25_s100_k11_g5,976243.536072,29.367293,1336736.107998,129.222818,1971388.030837,39.056715
rasp_gaussian_m250_k12_c25_s100_k11_g6,932598.044703,29.460448,1218999.089534,133.679298,1868851.871818,39.890599
rasp_gaussian_m250_k12_c25_s100_k11_g7,973535.778436,29.868600,1294150.910972,135.196617,2005103.682372,39.072047
