instance,ALG1_obj,ALG1_runtime,ALG2_obj,ALG2_runtime,HRA_obj,HRA_runtime
rasp_gaussian_m250_k18_c25_s100_s4_g1,948020.333901,75.222581,1244483.476921,337.837135,1893460.800935,126.001231
rasp_gaussian_m250_k18_c25_s100_s4_g10,948835.477729,75.295616,1322323.309927,388.767253,1914869.477543,124.793889
rasp_gaussian_m250_k18_c25_s100_s4_g2,1064687.166695,81.805853,1427612.087452,372.701845,1983353.678191,126.775611
rasp_gaussian_m250_k18_c25_s100_s4_g3,1118163.613008,71.740218,1526420.645409,337.106437,2222366.414918,126.130077
rasp_gaussian_m250_k18_c25_s100_s4_g4,1073907.171274,73.660868,1406139.066644,348.062816,2076080.558157,128.193444
rasp_gaussian_m250_k18_c25_s100_s4_g5,909272.001598,70.717667,1244352.126736,345.928414,1678037.900828,125.738245
rasp_gaussian_m250_k18_c25_s100_s4_g6,1148928.185853,73.571214,1525189.506461,328.965603,2083351.115284,123.859093
rasp_gaussian_m250_k18_c25_s100_s4_g7,1050936.263347,74.266721,1376756.607904,344.648385,2137078.461473,125.570776
rasp_gaussian_m250_k18_c25_s100_s4_g8,1018807.223966,73.555210,1383402.001389,343.345632,2000548.964611,120.599118
rasp_gaussian_m250_k18_c25_s100_s4_g9,1084554.738566,73.008916,1420470.990602,340.472695,2092260.737517,127.384633
rasp_gaussian_m250_k18_c25_s120_s5_g1,1064938.275589,71.229355,1433817.109964,339.606594,2202205.475043,124.258669
rasp_gaussian_m250_k18_c25_s120_s5_g10,1025351.732426,73.566580,1366500.572344,336.320238,1977572.922853,128.758182
rasp_gaussian_m250_k18_c25_s120_s5_g2,1079711.471078,71.983125,1439959.275310,347.670218,2192921.888177,128.235748
rasp_gaussian_m250_k18_c25_s120_s5_g3,1092810.369416,71.456438,1428912.321016,339.838496,2008456.565325,131.113069
rasp_gaussian_m250_k18_c25_s120_s5_g4,1023262.424519,74.181320,1359831.316518,331.182767,1998531.573289,127.159716
rasp_gaussian_m250_k18_c25_s120_s5_g5,999538.597100,73.898572,1311875.523310,336.847488,1964278.891342,130.899738
rasp_gaussian_m250_k18_c25_s120_s5_g6,1055480.399981,85.585669,1381794.543196,340.784596,2081869.996030,130.342992
rasp_gaussian_m250_k18_c25_s120_s5_g7,1155959.829945,70.498135,1492252.481682,333.448038,2135940.188604,127.248809
rasp_gaussian_m250_k18_c25_s120_s5_g8,1018121.185591,75.934522,1401240.876593,346.058389,1923178.775518,130.845797
rasp_gaussian_m250_k18_c25_s120_s5_g9,1114251.630452,76.399877,1431784.883787,354.455718,2131980.261026,125.838830
rasp_gaussian_m250_k18_c25_s140_s6_g1,1074408.911839,71.256653,1441806.264638,326.466523,2143356.917049,127.593861
rasp_gaussian_m250_k18_c25_s140_s6_g10,1135494.557645,72.451100,1529129.475623,338.292414,2170700.948424,129.532813
rasp_gaussian_m250_k18_c25_s140_s6_g2,995266.899112,70.730533,1362748.477477,338.946397,2128477.214428,128.461477
rasp_gaussian_m250_k18_c25_s140_s6_g3,1079240.424494,75.258552,1436754.871778,337.329748,2207843.344830,127.467206
rasp_gaussian_m250_k18_c25_s140_s6_g4,1007661.333919,75.971657,1264797.290095,346.509374,1924887.814553,131.339111
rasp_gaussian_m250_k18_c25_s140_s6_g5,1037400.462892,73.592526,1362289.539619,342.909784,1949950.489629,128.503577
rasp_gaussian_m250_k18_c25_s140_s6_g6,1132812.069020,70.652878,1453134.063981,340.132385,2101116.167564,130.254015
rasp_gaussian_m250_k18_c25_s140_s6_g7,1003594.046997,74.660558,1339879.518394,339.418605,1987177.903441,128.540215
rasp_gaussian_m250_k18_c25_s140_s6_g8,1064767.942113,72.589331,1396423.493088,341.156934,1935686.987257,125.207009
rasp_gaussian_m250_k18_c25_s140_s6_g9,1011033.529772,72.065506,1390380.933827,319.036046,1979399.197614,123.618318
rasp_gaussian_m250_k18_c25_s160_s7_g1,1026076.829479,73.876841,1428447.200528,337.322743,2021383.976852,129.274209
rasp_gaussian_m250_k18_c25_s160_s7_g10,1141364.243156,74.448250,1425051.201936,348.097718,2128132.771834,130.738197
rasp_gaussian_m250_k18_c25_s160_s7_g2,963900.292250,70.934447,1297046.775326,328.836710,1964544.613650,129.893028
rasp_gaussian_m250_k18_c25_s160_s7_g3,1027682.130445,76.503712,1361541.565751,325.318117,1904055.102281,128.763382
rasp_gaussian_m250_k18_c25_s160_s7_g4,985404.846164,70.795160,1258780.429548,395.292362,1956279.937045,126.281845
rasp_gaussian_m250_k18_c25_s160_s7_g5,959165.359209,71.024872,1218424.444703,346.732273,1839896.394120,126.220510
rasp_gaussian_m250_k18_c25_s160_s7_g6,1035752.216813,77.591662,1414918.393779,343.912917,2095855.954147,131.975489
rasp_gaussian_m250_k18_c25_s160_s7_g7,970575.509216,72.671426,1275433.308180,336.012230,1869743.421422,127.768419
rasp_gaussian_m250_k18_c25_s160_s7_g8,1141613.761098,71.238632,1508743.660905,335.950096,2255625.809089,128.035645
rasp_gaussian_m250_k18_c25_s160_s7_g9,1186139.233137,73.354035,1521968.558099,346.182366,2229328.121078,129.310709
rasp_gaussian_m250_k18_c25_s40_s1_g1,999957.042802,71.249493,1339807.535855,326.749851,2023363.005469,123.627826
rasp_gaussian_m250_k18_c25_s40_s1_g10,1055101.378879,69.091200,1419288.976056,320.295613,2016748.826474,121.532120
rasp_gaussian_m250_k18_c25_s40_s1_g2,951003.782394,73.999226,1327737.088032,317.425202,1971655.650440,120.218239
rasp_gaussian_m250_k18_c25_s40_s1_g3,932829.700851,72.556155,1304084.199800,331.919978,1919788.255861,122.455861
rasp_gaussian_m250_k18_c25_s40_s1_g4,1011293.250264,72.815882,1320982.071717,360.761557,2048468.802246,121.015810
rasp_gaussian_m250_k18_c25_s40_s1_g5,1073643.922748,72.781461,1418277.522360,334.759866,2183830.591047,117.799305
rasp_gaussian_m250_k18_c25_s40_s1_g6,975960.137623,72.459049,1303484.450619,324.267457,1897428.631729,116.467211
rasp_gaussian_m250_k18_c25_s40_s1_g7,899499.744178,72.241034,1184777.942773,335.738992,1929590.524531,121.241155
rasp_gaussian_m250_k18_c25_s40_s1_g8,1030214.798096,70.547346,1458311.564710,317.376591,2084116.919349,120.114892
rasp_gaussian_m250_k18_c25_s40_s1_g9,960300.519004,74.014581,1297860.771419,322.443832,1798423.971358,119.476287
rasp_gaussian_m250_k18_c25_s60_s2_g1,992369.880723,70.246375,1344307.347900,331.079407,2051742.623456,122.739804
rasp_gaussian_m250_k18_c25_s60_s2_g10,1000107.305873,70.502204,1351081.981091,369.753932,1971086.708646,120.753595
rasp_gaussian_m250_k18_c25_s60_s2_g2,968521.006197,72.055582,1347460.122827,333.524667,1880823.916627,121.093034
rasp_gaussian_m250_k18_c25_s60_s2_g3,1174319.730475,74.077002,1595909.599226,344.010325,2375526.232431,122.433672
rasp_gaussian_m250_k18_c25_s60_s2_g4,1015135.592410,79.436718,1376495.240435,322.492167,1939609.544273,122.793982
rasp_gaussian_m250_k18_c25_s60_s2_g5,1014506.680189,73.797151,1271027.815747,330.716254,1978517.185805,123.056758
rasp_gaussian_m250_k18_c25_s60_s2_g6,1053922.436451,71.970728,1467733.130708,333.917634,2038179.401454,121.463780
rasp_gaussian_m250_k18_c25_s60_s2_g7,1009428.399754,73.763868,1307081.118569,329.462592,1863150.991265,122.931094
rasp_gaussian_m250_k18_c25_s60_s2_g8,1002524.371579,72.229058,1327981.996184,368.247246,2106256.116245,120.479328
rasp_gaussian_m250_k18_c25_s60_s2_g9,923059.140924,71.140826,1338479.345358,320.740016,1878059.158558,120.032564
rasp_gaussian_m250_k18_c25_s80_s3_g1,983448.769763,72.676251,1356471.138958,332.291246,2000808.927247,126.582110
rasp_gaussian_m250_k18_c25_s80_s3_g10,1070759.323014,69.626063,1434117.555045,323.229170,2158264.281865,123.953494
rasp_gaussian_m250_k18_c25_s80_s3_g2,1061306.545662,81.491415,1410715.110529,393.592383,2215897.863975,126.399764
rasp_gaussian_m250_k18_c25_s80_s3_g3,1042935.445526,75.296837,1363191.143596,326.119441,2174412.867568,123.377778
rasp_gaussian_m250_k18_c25_s80_s3_g4,1083091.020112,71.819221,1414627.838591,386.285573,2220457.946939,123.522949
rasp_gaussian_m250_k18_c25_s80_s3_g5,877238.537648,70.407164,1221913.900462,328.270872,1722862.477684,123.400652
rasp_gaussian_m250_k18_c25_s80_s3_g6,980793.598053,73.703840,1356894.200729,325.406451,1997367.057686,125.630377
rasp_gaussian_m250_k18_c25_s80_s3_g7,1058901.846603,75.366794,1426005.819810,329.057572,2021324.360367,126.136597
rasp_gaussian_m250_k18_c25_s80_s3_g8,1144545.365138,72.805120,1485963.349024,318.057760,2087104.991970,123.358692
rasp_gaussian_m250_k18_c25_s80_s3_g9,1116557.032103,80.131356,1504398.396714,361.500649,2165180.784192,124.687819
