instance,ALG1_obj,ALG1_runtime,ALG2_obj,ALG2_runtime,HRA_obj,HRA_runtime
rasp_gaussian_m250_k18_c10_s100_c1_g1,735402.853125,107.736600,1100238.641810,405.988521,1764618.012300,113.967017
rasp_gaussian_m250_k18_c10_s100_c1_g10,670381.404501,106.982900,1022863.695303,393.007386,1679405.219393,112.637810
rasp_gaussian_m250_k18_c10_s100_c1_g2,800677.333644,99.826035,1202724.478376,435.129065,1998384.422725,115.486871
rasp_gaussian_m250_k18_c10_s100_c1_g3,794269.301603,116.820161,1142914.620306,397.773790,1789243.578777,115.846442
rasp_gaussian_m250_k18_c10_s100_c1_g4,627829.828805,87.323296,938334.855707,522.765106,1517165.326950,111.219747
rasp_gaussian_m250_k18_c10_s100_c1_g5,753570.359888,78.141843,1125351.372637,339.308274,1914539.197539,120.058761
rasp_gaussian_m250_k18_c10_s100_c1_g6,574477.770890,98.253489,837734.501473,396.167463,1401356.739585,116.881738
rasp_gaussian_m250_k18_c10_s100_c1_g7,638670.403767,91.834937,915471.242289,410.922230,1544585.598125,114.772995
rasp_gaussian_m250_k18_c10_s100_c1_g8,629547.596638,85.308044,923511.552340,387.326319,1554653.753275,118.052777
rasp_gaussian_m250_k18_c10_s100_c1_g9,716659.815623,100.180084,1092821.507255,463.715899,1759230.260052,113.944326
rasp_gaussian_m250_k18_c15_s100_c2_g1,716975.484710,84.749653,1033064.921699,437.478562,1693892.439149,121.550805
rasp_gaussian_m250_k18_c15_s100_c2_g10,771892.411502,72.552684,1151586.401909,342.418693,1842444.191792,118.007678
rasp_gaussian_m250_k18_c15_s100_c2_g2,704140.213912,100.795273,1055819.324756,396.719910,1592295.493473,116.331473
rasp_gaussian_m250_k18_c15_s100_c2_g3,765820.221453,119.295212,1059321.504699,392.816431,1741698.504999,118.739692
rasp_gaussian_m250_k18_c15_s100_c2_g4,880381.976718,100.918147,1315663.178639,395.482987,2057426.557662,116.064931
rasp_gaussian_m250_k18_c15_s100_c2_g5,826274.078157,104.533474,1220801.815516,440.941616,1880202.171014,119.386726
rasp_gaussian_m250_k18_c15_s100_c2_g6,767760.922671,85.849258,1151969.756852,430.964501,1829652.707100,120.889347
rasp_gaussian_m250_k18_c15_s100_c2_g7,800927.086441,119.464738,1167836.796371,490.198465,1856149.016922,115.596044
rasp_gaussian_m250_k18_c15_s100_c2_g8,896534.585441,85.297219,1290274.913890,399.468310,2091628.356020,120.771365
rasp_gaussian_m250_k18_c15_s100_c2_g9,736591.558309,99.777132,1077701.753914,443.188966,1710581.908546,118.635655
rasp_gaussian_m250_k18_c20_s100_c3_g1,971218.797199,84.907647,1420957.935408,390.831772,2023394.802134,120.451182
rasp_gaussian_m250_k18_c20_s100_c3_g10,953035.156245,91.143708,1287919.207874,429.799423,1979973.901322,120.503654
rasp_gaussian_m250_k18_c20_s100_c3_g2,879973.983633,116.096391,1222163.267439,397.636412,1800338.106742,122.315313
rasp_gaussian_m250_k18_c20_s100_c3_g3,786296.826813,104.072657,1163815.325802,556.369387,1632609.505115,122.641034
rasp_gaussian_m250_k18_c20_s100_c3_g4,869321.391551,86.606564,1224456.684092,408.581527,1763968.731273,121.891881
rasp_gaussian_m250_k18_c20_s100_c3_g5,941671.092685,84.319621,1311806.904370,513.679436,2027366.807672,123.397568
rasp_gaussian_m250_k18_c20_s100_c3_g6,907707.711687,91.540905,1269771.638469,376.866194,1917209.933867,123.302056
rasp_gaussian_m250_k18_c20_s100_c3_g7,938735.226051,86.558936,1276355.176329,394.559182,1936993.573949,125.586201
rasp_gaussian_m250_k18_c20_s100_c3_g8,990615.290324,93.282019,1391655.290924,438.293949,1992782.247678,120.227007
rasp_gaussian_m250_k18_c20_s100_c3_g9,881099.329781,71.260836,1218598.737251,421.160479,1782649.570107,121.977688
rasp_gaussian_m250_k18_c25_s100_c4_g1,1092740.564035,75.803729,1410415.777041,406.990498,2097323.502172,128.135175
rasp_gaussian_m250_k18_c25_s100_c4_g10,1109327.708023,83.870245,1471494.164274,403.584286,2056951.704626,130.944553
rasp_gaussian_m250_k18_c25_s100_c4_g2,913788.003139,73.095270,1204256.837045,358.495857,1815284.876618,125.090828
rasp_gaussian_m250_k18_c25_s100_c4_g3,1038981.642787,79.652603,1417439.864967,401.492136,2022555.223536,121.262407
rasp_gaussian_m250_k18_c25_s100_c4_g4,1008502.590713,73.694082,1358162.817407,338.037892,1988496.001264,126.298797
rasp_gaussian_m250_k18_c25_s100_c4_g5,1073049.099652,95.835697,1434998.815680,364.073916,2138851.450744,128.086877
rasp_gaussian_m250_k18_c25_s100_c4_g6,1149143.070148,88.343665,1479762.716539,424.547852,2136644.318131,123.619202
rasp_gaussian_m250_k18_c25_s100_c4_g7,1159361.695773,85.079292,1556676.085669,405.387204,2200252.291498,125.805769
rasp_gaussian_m250_k18_c25_s100_c4_g8,962548.163985,99.377631,1267119.749032,476.458675,1819203.178885,126.155187
rasp_gaussian_m250_k18_c25_s100_c4_g9,971018.935438,106.561404,1299454.259847,390.850091,2089833.403615,124.780539
rasp_gaussian_m250_k18_c30_s100_c5_g1,1171024.260563,82.186066,1457136.251204,481.480283,2033706.509400,128.347652
rasp_gaussian_m250_k18_c30_s100_c5_g10,1040911.300852,85.471371,1377455.371038,404.712050,1926138.132239,129.637569
rasp_gaussian_m250_k18_c30_s100_c5_g2,1166840.116026,102.004562,1464584.518968,490.674020,2095417.630086,132.448422
rasp_gaussian_m250_k18_c30_s100_c5_g3,1112059.953071,82.744298,1364612.277028,433.619139,2124813.726916,126.013430
rasp_gaussian_m250_k18_c30_s100_c5_g4,1096800.750697,98.811687,1418542.359186,523.627767,2068856.725649,135.495678
rasp_gaussian_m250_k18_c30_s100_c5_g5,1208618.512071,89.854722,1488835.250182,399.644563,2148197.361986,133.551215
rasp_gaussian_m250_k18_c30_s100_c5_g6,1155533.104225,81.694228,1503957.512076,364.227317,2124517.092711,134.167470
rasp_gaussian_m250_k18_c30_s100_c5_g7,1143382.049910,78.475651,1446829.329447,355.098920,2052553.079391,130.314926
rasp_gaussian_m250_k18_c30_s100_c5_g8,1041248.158366,79.307929,1339608.683609,369.392838,2031960.179786,128.274039
rasp_gaussian_m250_k18_c30_s100_c5_g9,1154303.437546,82.054985,1486474.773480,411.394848,2187779.585148,131.811158
rasp_gaussian_m250_k18_c35_s100_c6_g1,1289272.568645,83.879114,1523942.930072,489.206008,2198133.804940,133.772745
rasp_gaussian_m250_k18_c35_s100_c6_g10,1284167.891923,75.243360,1546195.795130,434.726979,2174477.522855,134.963942
rasp_gaussian_m250_k18_c35_s100_c6_g2,1327961.821787,100.521157,1549996.124061,416.297175,2257105.158062,132.172302
rasp_gaussian_m250_k18_c35_s100_c6_g3,1318747.698535,83.173437,1577041.333210,442.005513,2420945.502401,134.079578
rasp_gaussian_m250_k18_c35_s100_c6_g4,1405643.889045,82.618551,1674561.061922,404.704469,2373017.625749,135.581557
rasp_gaussian_m250_k18_c35_s100_c6_g5,1263495.706569,86.857865,1500393.679101,439.075943,2270054.724712,132.967036
rasp_gaussian_m250_k18_c35_s100_c6_g6,1230646.750649,83.417140,1487276.135368,420.682570,2201319.135721,132.312675
rasp_gaussian_m250_k18_c35_s100_c6_g7,1160798.164437,73.722834,1453923.954032,356.110717,2057068.880874,134.392983
rasp_gaussian_m250_k18_c35_s100_c6_g8,1259325.867720,81.664156,1533445.218645,369.768171,2191239.119322,136.705778
rasp_gaussian_m250_k18_c35_s100_c6_g9,1244944.014766,93.331780,1494963.042548,406.042451,2128711.890646,134.549012
rasp_gaussian_m250_k18_c40_s100_c7_g1,1313126.330799,92.230882,1586027.283557,435.884107,2283214.082951,139.658173
rasp_gaussian_m250_k18_c40_s100_c7_g10,1472609.626594,73.945629,1739532.521930,367.640367,2364824.303870,140.757380
rasp_gaussian_m250_k18_c40_s100_c7_g2,1485879.474661,84.934049,1698144.373768,501.213281,2421574.454713,136.328246
rasp_gaussian_m250_k18_c40_s100_c7_g3,1276351.523117,73.896515,1502970.255807,450.043313,2115963.485226,134.311194
rasp_gaussian_m250_k18_c40_s100_c7_g4,1186942.601829,73.085587,1488985.411972,348.975937,2167825.176781,139.267842
rasp_gaussian_m250_k18_c40_s100_c7_g5,1299722.658161,101.745892,1480151.091675,418.590175,2155067.295108,138.108926
rasp_gaussian_m250_k18_c40_s100_c7_g6,1431756.431315,83.345463,1641471.343099,503.579083,2384125.778194,138.986984
rasp_gaussian_m250_k18_c40_s100_c7_g7,1395397.600486,87.358386,1653244.335696,483.226196,2423415.436919,133.631400
rasp_gaussian_m250_k18_c40_s100_c7_g8,1369252.376644,90.195761,1562806.576222,525.905125,2145913.040744,138.881493
rasp_gaussian_m250_k18_c40_s100_c7_g9,1350749.912823,84.960083,1569123.649446,340.144032,2180852.265154,136.400458
